자치구별,평수,평당가격,,면적,평,가격,최종가격
,,,,49.5,15,"24,500",1633.333333
,,,,39.6,12,"17,400",1450
,,,,49.5,15,"23,300",1553.333333
,,,,34.44,10.43636364,"16,800",1609.756098
,,,,49.5,15,"24,400",1626.666667
,,,,34.44,10.43636364,"16,000",1533.101045
,,,,39.6,12,"17,000",1416.666667
,,,,39.6,12,"17,300",1441.666667
,,,,34.44,10.43636364,"15,900",1523.519164
,,,,49.5,15,"24,000",1600
,,,,39.6,12,"16,300",1358.333333
,,,,34.44,10.43636364,"15,900",1523.519164
,,,,39.6,12,"18,000",1500
,,,,39.6,12,"18,000",1500
,,,,39.6,12,"17,450",1454.166667
,,,,39.6,12,"17,900",1491.666667
,,,,49.5,15,"22,000",1466.666667
,,,,39.6,12,"18,000",1500
,,,,39.6,12,"17,000",1416.666667
,,,,49.5,15,"23,900",1593.333333
,,,,49.5,15,"24,000",1600
,,,,49.5,15,"23,500",1566.666667
,,,,39.6,12,"18,250",1520.833333
,,,,39.6,12,"17,950",1495.833333
,,,,34.44,10.43636364,"16,800",1609.756098
,,,,39.6,12,"18,350",1529.166667
,,,,49.5,15,"24,000",1600
,,,,39.6,12,"17,900",1491.666667
,,,,49.5,15,"24,000",1600
,,,,39.6,12,"18,300",1525
,,,,49.5,15,"22,350",1490
,,,,39.6,12,"19,000",1583.333333
,,,,39.6,12,"17,900",1491.666667
,,,,34.44,10.43636364,"16,800",1609.756098
,,,,49.5,15,"23,750",1583.333333
,,,,39.6,12,"18,900",1575
,,,,34.44,10.43636364,"17,500",1676.829268
,,,,34.44,10.43636364,"16,950",1624.12892
,,,,39.6,12,"18,000",1500
,,,,49.5,15,"24,000",1600
,,,,34.44,10.43636364,"16,900",1619.337979
,,,,34.44,10.43636364,"17,000",1628.919861
,,,,39.6,12,"18,900",1575
,,,,34.44,10.43636364,"17,300",1657.665505
,,,,39.6,12,"19,900",1658.333333
,,,,39.6,12,"17,200",1433.333333
,,,,34.44,10.43636364,"17,300",1657.665505
,,,,39.6,12,"19,000",1583.333333
,,,,49.5,15,"24,000",1600
,,,,39.6,12,"18,800",1566.666667
,,,,34.44,10.43636364,"17,500",1676.829268
,,,,39.6,12,"20,000",1666.666667
,,,,39.6,12,"20,000",1666.666667
,,,,39.6,12,"19,500",1625
,,,,39.6,12,"18,000",1500
,,,,34.44,10.43636364,"17,000",1628.919861
,,,,39.6,12,"19,850",1654.166667
,,,,34.44,10.43636364,"17,100",1638.501742
,,,,34.44,10.43636364,"15,800",1513.937282
,,,,49.5,15,"24,800",1653.333333
,,,,34.44,10.43636364,"16,300",1561.84669
,,,,49.5,15,"23,800",1586.666667
,,,,34.44,10.43636364,"15,900",1523.519164
,,,,39.6,12,"17,800",1483.333333
,,,,39.6,12,"17,800",1483.333333
,,,,34.44,10.43636364,"15,300",1466.027875
,,,,39.6,12,"18,500",1541.666667
,,,,39.6,12,"17,900",1491.666667
,,,,34.44,10.43636364,"16,000",1533.101045
,,,,49.5,15,"24,800",1653.333333
,,,,34.44,10.43636364,"16,000",1533.101045
,,,,39.6,12,"18,000",1500
,,,,34.44,10.43636364,"14,800",1418.118467
,,,,34.44,10.43636364,"14,300",1370.209059
,,,,39.6,12,"18,500",1541.666667
,,,,34.44,10.43636364,"15,100",1446.864111
,,,,34.44,10.43636364,"16,500",1581.010453
,,,,34.44,10.43636364,"16,800",1609.756098
,,,,34.44,10.43636364,"16,000",1533.101045
,,,,49.5,15,"23,500",1566.666667
,,,,39.6,12,"16,500",1375
,,,,39.6,12,"18,400",1533.333333
,,,,34.44,10.43636364,"14,900",1427.700348
,,,,39.6,12,"18,400",1533.333333
,,,,39.6,12,"16,500",1375
,,,,34.44,10.43636364,"16,900",1619.337979
,,,,49.5,15,"25,500",1700
,,,,34.44,10.43636364,"16,800",1609.756098
,,,,39.6,12,"17,000",1416.666667
,,,,34.44,10.43636364,"16,500",1581.010453
,,,,39.6,12,"18,700",1558.333333
,,,,34.44,10.43636364,"17,400",1667.247387
,,,,34.44,10.43636364,"16,800",1609.756098
,,,,34.44,10.43636364,"16,700",1600.174216
,,,,39.6,12,"18,950",1579.166667
,,,,39.6,12,"18,700",1558.333333
,,,,39.6,12,"18,800",1566.666667
,,,,49.5,15,"20,800",1386.666667
,,,,49.5,15,"22,500",1500
,,,,49.5,15,"24,600",1640
,,,,49.5,15,"24,500",1633.333333
,,,,39.6,12,"19,500",1625
,,,,39.6,12,"18,900",1575
,,,,49.5,15,"20,500",1366.666667
,,,,39.6,12,"19,300",1608.333333
,,,,39.6,12,"18,400",1533.333333
,,,,34.44,10.43636364,"16,200",1552.264808
,,,,34.44,10.43636364,"16,800",1609.756098
,,,,34.44,10.43636364,"16,800",1609.756098
,,,,39.6,12,"18,400",1533.333333
,,,,39.6,12,"19,000",1583.333333
,,,,49.5,15,"23,800",1586.666667
,,,,34.44,10.43636364,"16,800",1609.756098
,,,,49.5,15,"25,250",1683.333333
,,,,39.6,12,"19,500",1625
,,,,34.44,10.43636364,"17,000",1628.919861
,,,,49.5,15,"24,000",1600
,,,,34.44,10.43636364,"17,500",1676.829268
,,,,39.6,12,"19,430",1619.166667
,,,,34.44,10.43636364,"16,800",1609.756098
,,,,34.44,10.43636364,"16,900",1619.337979
,,,,49.5,15,"24,000",1600
,,,,34.44,10.43636364,"16,950",1624.12892
,,,,34.44,10.43636364,"17,350",1662.456446
