기준_년분기_코드,행정동_코드,행정동_코드_명,소득_구간_코드,교육_지출_총금액,,,자치구별,2019,2020,2021,2022
20222,11305,강북구,6,1426567000,,,,,,,
20222,11380,은평구,6,4090448000,,,,,,,
20222,11440,마포구,8,8279231000,,,,,,,
20222,11620,관악구,6,14118457000,,,,,,,
20223,11200,성동구,7,2628722000,,,,,,,
20223,11215,광진구,7,3168323000,,,,,,,
20223,11545,금천구,6,1420991000,,,,,,,
20223,11620,관악구,6,14236558000,,,,,,,
20223,11680,강남구,9,41253858000,,,,,,,
20223,11290,성북구,7,4052100000,,,,,,,
20223,11230,동대문구,7,2636056000,,,,,,,
20223,11305,강북구,6,1583863000,,,,,,,
20223,11320,도봉구,6,2197864000,,,,,,,
20223,11260,중랑구,6,2665497000,,,,,,,
20223,11500,강서구,7,6339514000,,,,,,,
20223,11350,노원구,7,8575408000,,,,,,,
20223,11470,양천구,8,13469800000,,,,,,,
20223,11140,중구,7,26433791000,,,,,,,
20223,11380,은평구,6,4466189000,,,,,,,
20223,11440,마포구,8,8905976000,,,,,,,
20223,11560,영등포구,7,3427911000,,,,,,,
20223,11110,종로구,7,5026533000,,,,,,,
20223,11590,동작구,7,4380509000,,,,,,,
20223,11650,서초구,9,13758985000,,,,,,,
20223,11710,송파구,8,10225135000,,,,,,,
20223,11170,용산구,8,1328105000,,,,,,,
20223,11410,서대문구,7,3408450000,,,,,,,
20223,11530,구로구,7,3654909000,,,,,,,
20223,11740,강동구,7,5888203000,,,,,,,
20224,11290,성북구,7,3392787000,,,,,,,
20224,11650,서초구,9,11879067000,,,,,,,
20224,11470,양천구,8,11281613000,,,,,,,
20224,11170,용산구,8,1372237000,,,,,,,
20224,11305,강북구,6,1351581000,,,,,,,
20224,11320,도봉구,6,2003333000,,,,,,,
20224,11215,광진구,7,3011229000,,,,,,,
20224,11380,은평구,6,4364091000,,,,,,,
20224,11410,서대문구,7,3121865000,,,,,,,
20224,11530,구로구,7,3621614000,,,,,,,
20224,11560,영등포구,7,3148754000,,,,,,,
20224,11590,동작구,7,3825680000,,,,,,,
20224,11680,강남구,9,34699891000,,,,,,,
20224,11710,송파구,8,9698419000,,,,,,,
20224,11740,강동구,7,5479804000,,,,,,,
20224,11110,종로구,7,2626075000,,,,,,,
20224,11140,중구,7,26714524000,,,,,,,
20224,11200,성동구,7,2603660000,,,,,,,
20224,11350,노원구,7,7688863000,,,,,,,
20224,11440,마포구,8,8361605000,,,,,,,
20224,11500,강서구,7,5866532000,,,,,,,
20224,11545,금천구,6,1476223000,,,,,,,
20224,11230,동대문구,7,2596722000,,,,,,,
20224,11260,중랑구,6,2567084000,,,,,,,
20224,11620,관악구,6,14409598000,,,,,,,
20232,11500,강서구,7,6447544000,,,,,,,
20232,11710,송파구,8,10273855000,,,,,,,
20232,11200,성동구,7,2644736000,,,,,,,
20232,11305,강북구,6,1603207000,,,,,,,
20232,11470,양천구,8,12535282000,,,,,,,
20232,11110,종로구,7,2862926000,,,,,,,
20232,11170,용산구,8,1531288000,,,,,,,
20232,11230,동대문구,7,2940372000,,,,,,,
20232,11380,은평구,6,4783802000,,,,,,,
20232,11680,강남구,9,34820526000,,,,,,,
20232,11740,강동구,7,6384191000,,,,,,,
20232,11140,중구,7,26340956000,,,,,,,
20232,11215,광진구,7,3221233000,,,,,,,
20232,11440,마포구,8,8753098000,,,,,,,
20232,11530,구로구,7,3700871000,,,,,,,
20232,11560,영등포구,7,3460966000,,,,,,,
20232,11620,관악구,6,14605448000,,,,,,,
20232,11320,도봉구,6,2111960000,,,,,,,
20232,11545,금천구,6,1496029000,,,,,,,
20232,11590,동작구,7,4391610000,,,,,,,
20232,11350,노원구,7,8343172000,,,,,,,
20232,11410,서대문구,7,3805218000,,,,,,,
20232,11650,서초구,9,13133581000,,,,,,,
20232,11260,중랑구,6,2646733000,,,,,,,
20232,11290,성북구,7,3742943000,,,,,,,
