시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,Latitude,Longitude,해제사유발생일,등기일자,거래유형,중개사소재지
서울특별시 송파구 풍납동,401-1,401,1,쌍용,84.85,202311,7,"102,500",20,1994,올림픽로47길 12,37.5283486,127.1175134,,,중개거래,서울 송파구
서울특별시 송파구 풍납동,251-2,251,2,토성현대,49.14,202311,4,"58,800",6,1986,풍성로14길 19,37.5326157,127.1162586,,,중개거래,서울 송파구
서울특별시 양천구 목동,928,928,0,건영,84.3,202310,28,"63,000",12,1994,목동중앙본로22길 63,37.5418773,126.8727778,,,중개거래,서울 양천구
서울특별시 양천구 목동,956,956,0,롯데캐슬위너,135.85,202310,30,"155,300",18,2005,목동중앙북로 38,37.5468897,126.8672385,,,중개거래,서울 양천구
서울특별시 양천구 목동,956,956,0,롯데캐슬위너,59.98,202311,1,"88,000",7,2005,목동중앙북로 38,37.5468897,126.8672385,,,중개거래,"서울 금천구, 서울 양천구"
서울특별시 양천구 목동,956,956,0,롯데캐슬위너,84.94,202311,8,"107,300",12,2005,목동중앙북로 38,37.5468897,126.8672385,,20231114,중개거래,서울 양천구
서울특별시 양천구 목동,956,956,0,롯데캐슬위너,114.75,202311,13,"94,000",11,2005,목동중앙북로 38,37.5468897,126.8672385,,20231114,직거래,-
서울특별시 양천구 목동,907-5,907,5,목동가든스위트,144.16,202310,27,"169,000",19,1999,목동서로 65,37.5361521,126.8787302,,20231120,중개거래,서울 양천구
서울특별시 양천구 목동,405,405,0,목동대림,84.82,202311,4,"126,300",12,1994,목동동로12길 23,37.5235014,126.8742598,,,중개거래,서울 양천구
서울특별시 양천구 목동,901,901,0,목동신시가지1,123.19,202311,3,"250,000",1,1985,목동서로 38,37.5396031,126.8793393,,,중개거래,서울 양천구
서울특별시 양천구 목동,901,901,0,목동신시가지1,96.9,202311,18,"194,800",1,1985,목동서로 38,37.5396031,126.8793393,,,중개거래,서울 양천구
서울특별시 양천구 목동,901,901,0,목동신시가지1,99.15,202311,21,"199,000",4,1985,목동서로 38,37.5396031,126.8793393,,,중개거래,서울 양천구
서울특별시 양천구 목동,902,902,0,목동신시가지2,65.25,202311,14,"159,000",14,1986,목동서로 70,37.5374761,126.8759409,,,중개거래,서울 양천구
서울특별시 양천구 목동,902,902,0,목동신시가지2,95.22,202311,17,"204,000",2,1986,목동서로 70,37.5374761,126.8759409,,,중개거래,서울 양천구
서울특별시 양천구 목동,902,902,0,목동신시가지2,122.31,202311,17,"246,000",3,1986,목동서로 70,37.5374761,126.8759409,,,중개거래,서울 양천구
서울특별시 양천구 목동,902,902,0,목동신시가지2,122.31,202311,23,"250,000",1,1986,목동서로 70,37.5374761,126.8759409,,,중개거래,서울 양천구
서울특별시 양천구 목동,903,903,0,목동신시가지3,95.03,202311,4,"202,000",4,1986,목동서로 100,37.5343588,126.8729492,,,중개거래,서울 양천구
서울특별시 양천구 목동,903,903,0,목동신시가지3,64.98,202311,4,"155,500",10,1986,목동서로 100,37.5343588,126.8729492,,,중개거래,서울 양천구
서울특별시 양천구 목동,904,904,0,목동신시가지4,95.67,202311,13,"199,000",2,1986,목동서로 130,37.5319314,126.8715915,,,중개거래,서울 마포구
서울특별시 양천구 목동,904,904,0,목동신시가지4,142.2,202311,16,"295,000",11,1986,목동서로 130,37.5319314,126.8715915,,,중개거래,서울 양천구
서울특별시 양천구 목동,912,912,0,목동신시가지5,65.08,202311,6,"175,000",5,1986,목동동로 350,37.5341154,126.882084,,,중개거래,서울 양천구
서울특별시 양천구 목동,912,912,0,목동신시가지5,65.08,202311,11,"178,000",4,1986,목동동로 350,37.5341154,126.882084,,,중개거래,서울 양천구
서울특별시 양천구 목동,912,912,0,목동신시가지5,115.47,202311,22,"259,000",6,1986,목동동로 350,37.5341154,126.882084,,,중개거래,서울 양천구
서울특별시 양천구 목동,911,911,0,목동신시가지6,47.94,202311,18,"135,000",17,1986,목동동로 430,37.5346421,126.8848163,,,중개거래,서울 양천구
서울특별시 양천구 목동,925,925,0,목동신시가지7,66.6,202310,31,"185,000",9,1986,목동로 212,37.5288229,126.8678406,,,중개거래,서울 양천구
서울특별시 양천구 목동,925,925,0,목동신시가지7,53.88,202311,7,"145,000",6,1986,목동로 212,37.5288229,126.8678406,,,중개거래,서울 양천구
서울특별시 양천구 목동,907-12,907,12,부영그린타운1,164.1,202311,1,"162,000",23,1999,목동동로 393,37.5362003,126.8800958,,,중개거래,서울 양천구
서울특별시 양천구 목동,709-2,709,2,성원2,59.9,202310,28,"59,800",8,2000,목동중앙남로 100,37.5427541,126.8634712,,,중개거래,서울 양천구
서울특별시 양천구 목동,948,948,0,월드메르디앙2,84.3,202311,14,"87,500",13,2003,목동중앙본로1길 5,37.5384933,126.870419,,,중개거래,서울 양천구
서울특별시 양천구 목동,916,916,0,현대하이페리온,167.44,202311,4,"320,000",28,2003,목동동로 257,37.5268539,126.8750349,,,중개거래,서울 양천구
서울특별시 양천구 신월동,217-2,217,2,나산,84.18,202311,4,"45,000",4,1997,남부순환로65길 6,37.5275673,126.8343603,,,중개거래,서울 양천구
서울특별시 양천구 신월동,1028,1028,0,대주파크빌,59.98,202311,2,"56,000",5,2004,남부순환로85길 16,37.514488,126.8425826,,,중개거래,서울 양천구
서울특별시 양천구 신월동,1075,1075,0,목동센트럴아이파크위브1단지,84.97,202310,29,"104,000",14,2020,남부순환로83길 17,37.5165936,126.8419071,,,중개거래,서울 양천구
서울특별시 양천구 신월동,1076,1076,0,목동센트럴아이파크위브2단지,52.96,202311,1,"67,500",3,2020,남부순환로83길 18,37.5154895,126.8425811,,,중개거래,서울 양천구
서울특별시 양천구 신월동,1076,1076,0,목동센트럴아이파크위브2단지,84.98,202311,7,"109,500",20,2020,남부순환로83길 18,37.5154895,126.8425811,,20231108,중개거래,서울 양천구
서울특별시 양천구 신월동,475,475,0,서울가든,100.8,202311,9,"68,000",5,1985,중앙로53길 5,37.5252974,126.8486501,,20231114,직거래,-
서울특별시 양천구 신월동,429-1,429,1,성우,59.97,202311,14,"39,300",8,1998,오목로7길 25,37.5240438,126.8410721,,,중개거래,서울 양천구
서울특별시 양천구 신월동,491-1,491,1,신월대림,59.73,202310,31,"48,000",1,2001,오목로13길 7,37.5237109,126.8448735,,,중개거래,서울 양천구
서울특별시 양천구 신월동,222-7,222,7,신월성원,77.31,202311,8,"39,500",15,1996,곰달래로2길 16,37.5282159,126.8339568,20231121,,중개거래,서울 양천구
서울특별시 양천구 신월동,987-1,987,1,신월시영,50.67,202311,1,"51,500",2,1988,신월로 99,37.5179066,126.8340997,,,중개거래,서울 양천구
서울특별시 양천구 신월동,987-1,987,1,신월시영,50.67,202311,6,"52,000",8,1988,신월로 99,37.5179066,126.8340997,,,중개거래,서울 양천구
서울특별시 양천구 신월동,987-1,987,1,신월시영,50.67,202311,18,"51,500",3,1988,신월로 99,37.5179066,126.8340997,,,중개거래,서울 양천구
