시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,,1평,시군구,평당 평균 가격(만원),,시군구,전용면적(㎡),평수,거래금액(만원),평당 가격(만원),,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,134.9023,201612,27,"190,000",4,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,134.9023,40.808009,"190,000",4655.948787,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9984,201612,28,"137,000",15,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,84.9984,25.71205585,"137,000",5328.239826,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,176.9924,201612,28,"240,000",20,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,176.9924,53.54028399,"240,000",4482.606033,,,,,,,
서울특별시 강남구 도곡동,957-11,957,11,도곡스타클래스,112.75,201612,13,"81,800",10,2007,남부순환로 2615,,,,,,서울특별시 강남구 도곡동,112.75,34.10692787,"81,800",2398.339725,,,,,,,
서울특별시 강남구 도곡동,957-11,957,11,도곡스타클래스,112.75,201612,24,"76,000",5,2007,남부순환로 2615,,,,,,서울특별시 강남구 도곡동,112.75,34.10692787,"76,000",2228.286297,,,,,,,
서울특별시 강남구 도곡동,933,933,0,도곡쌍용예가,107.53,201612,2,"97,500",7,1978,남부순환로363길 30,,,,,,서울특별시 강남구 도곡동,107.53,32.52787542,"97,500",2997.42909,,,,,,,
서울특별시 강남구 도곡동,538-3,538,3,래미안도곡카운티,106.78,201612,9,"146,000",10,2016,도곡로 320,,,,,,서울특별시 강남구 도곡동,106.78,32.30100007,"146,000",4519.983892,,,,,,,
서울특별시 강남구 도곡동,963,963,0,럭키(963),84.97,201612,16,"90,000",13,1995,논현로 213,,,,,,서울특별시 강남구 도곡동,84.97,25.70346484,"90,000",3501.473461,,,,,,,
서울특별시 강남구 도곡동,963,963,0,럭키(963),84.97,201612,17,"93,000",13,1995,논현로 213,,,,,,서울특별시 강남구 도곡동,84.97,25.70346484,"93,000",3618.189243,,,,,,,
서울특별시 강남구 도곡동,963,963,0,럭키(963),84.97,201612,19,"91,000",7,1995,논현로 213,,,,,,서울특별시 강남구 도곡동,84.97,25.70346484,"91,000",3540.378722,,,,,,,
